img,plate,source_img,augment_type,clean_plate,group_id,split
69_medium.png,59-V2 090.48,69.png,medium,59V209048,59V209048,train
69_high.png,59-V2 090.48,69.png,high,59V209048,59V209048,train
69_occluded.png,59-V2 090.48,69.png,occluded,59V209048,59V209048,train
70_low.png,79-Z1 185.89,70.png,low,79Z118589,79Z118589,train
70_medium.png,79-Z1 185.89,70.png,medium,79Z118589,79Z118589,train
70_high.png,79-Z1 185.89,70.png,high,79Z118589,79Z118589,train
70_occluded.png,79-Z1 185.89,70.png,occluded,79Z118589,79Z118589,train
71_low.png,54-Y3 8211,71.png,low,54Y38211,54Y38211,train
71_medium.png,54-Y3 8211,71.png,medium,54Y38211,54Y38211,train
71_high.png,54-Y3 8211,71.png,high,54Y38211,54Y38211,train
71_occluded.png,54-Y3 8211,71.png,occluded,54Y38211,54Y38211,train
72_low.png,59-E1 029.93,72.png,low,59E102993,59E102993,train
72_medium.png,59-E1 029.93,72.png,medium,59E102993,59E102993,train
72_high.png,59-E1 029.93,72.png,high,59E102993,59E102993,train
72_occluded.png,59-E1 029.93,72.png,occluded,59E102993,59E102993,train
73_low.png,54-U5 2813,73.png,low,54U52813,54U52813,train
73_medium.png,54-U5 2813,73.png,medium,54U52813,54U52813,train
73_high.png,54-U5 2813,73.png,high,54U52813,54U52813,train
73_occluded.png,54-U5 2813,73.png,occluded,54U52813,54U52813,train
74_low.png,67-B1 696.60,74.png,low,67B169660,67B169660,train
74_medium.png,67-B1 696.60,74.png,medium,67B169660,67B169660,train
74_high.png,67-B1 696.60,74.png,high,67B169660,67B169660,train
74_occluded.png,67-B1 696.60,74.png,occluded,67B169660,67B169660,train
75_low.png,59-N1 739.48,75.png,low,59N173948,59N173948,train
75_medium.png,59-N1 739.48,75.png,medium,59N173948,59N173948,train
75_high.png,59-N1 739.48,75.png,high,59N173948,59N173948,train
75_occluded.png,59-N1 739.48,75.png,occluded,59N173948,59N173948,train
78_low.png,51-P9 8308,78.png,low,51P98308,51P98308,train
78_medium.png,51-P9 8308,78.png,medium,51P98308,51P98308,train
78_high.png,51-P9 8308,78.png,high,51P98308,51P98308,train
78_occluded.png,51-P9 8308,78.png,occluded,51P98308,51P98308,train
79_low.png,54-L1 8811,79.png,low,54L18811,54L18811,train
79_medium.png,54-L1 8811,79.png,medium,54L18811,54L18811,train
79_high.png,54-L1 8811,79.png,high,54L18811,54L18811,train
79_occluded.png,54-L1 8811,79.png,occluded,54L18811,54L18811,train
80_low.png,60-V7 7002,80.png,low,60V77002,60V77002,train
80_medium.png,60-V7 7002,80.png,medium,60V77002,60V77002,train
80_high.png,60-V7 7002,80.png,high,60V77002,60V77002,train
80_occluded.png,60-V7 7002,80.png,occluded,60V77002,60V77002,train
81_low.png,59-F1 138.60,81.png,low,59F113860,59F113860,train
81_medium.png,59-F1 138.60,81.png,medium,59F113860,59F113860,train
81_high.png,59-F1 138.60,81.png,high,59F113860,59F113860,train
81_occluded.png,59-F1 138.60,81.png,occluded,59F113860,59F113860,train
82_low.png,59-C2 527.95,82.png,low,59C252795,59C252795,train
82_medium.png,59-C2 527.95,82.png,medium,59C252795,59C252795,train
82_high.png,59-C2 527.95,82.png,high,59C252795,59C252795,train
82_occluded.png,59-C2 527.95,82.png,occluded,59C252795,59C252795,train
83_low.png,59-T1 888.08,83.png,low,59T188808,59T188808,train
83_medium.png,59-T1 888.08,83.png,medium,59T188808,59T188808,train
83_high.png,59-T1 888.08,83.png,high,59T188808,59T188808,train
83_occluded.png,59-T1 888.08,83.png,occluded,59T188808,59T188808,train
84_low.png,59-T1 621.33,84.png,low,59T162133,59T162133,train
84_medium.png,59-T1 621.33,84.png,medium,59T162133,59T162133,train
84_high.png,59-T1 621.33,84.png,high,59T162133,59T162133,train
84_occluded.png,59-T1 621.33,84.png,occluded,59T162133,59T162133,train
87_low.png,59-V2 008.84,87.png,low,59V200884,59V200884,train
87_medium.png,59-V2 008.84,87.png,medium,59V200884,59V200884,train
87_high.png,59-V2 008.84,87.png,high,59V200884,59V200884,train
87_occluded.png,59-V2 008.84,87.png,occluded,59V200884,59V200884,train
88_low.png,59-S1 262.08,88.png,low,59S126208,59S126208,train
88_medium.png,59-S1 262.08,88.png,medium,59S126208,59S126208,train
88_high.png,59-S1 262.08,88.png,high,59S126208,59S126208,train
88_occluded.png,59-S1 262.08,88.png,occluded,59S126208,59S126208,train
91_low.png,59-C1 040.54,91.png,low,59C104054,59C104054,train
91_medium.png,59-C1 040.54,91.png,medium,59C104054,59C104054,train
91_high.png,59-C1 040.54,91.png,high,59C104054,59C104054,train
91_occluded.png,59-C1 040.54,91.png,occluded,59C104054,59C104054,train
92_low.png,59-T1 534.85,92.png,low,59T153485,59T153485,train
92_medium.png,59-T1 534.85,92.png,medium,59T153485,59T153485,train
92_high.png,59-T1 534.85,92.png,high,59T153485,59T153485,train
92_occluded.png,59-T1 534.85,92.png,occluded,59T153485,59T153485,train
93_low.png,63-H5 1336,93.png,low,63H51336,63H51336,train
93_medium.png,63-H5 1336,93.png,medium,63H51336,63H51336,train
93_high.png,63-H5 1336,93.png,high,63H51336,63H51336,train
93_occluded.png,63-H5 1336,93.png,occluded,63H51336,63H51336,train
94_low.png,54-K1 6483,94.png,low,54K16483,54K16483,train
94_medium.png,54-K1 6483,94.png,medium,54K16483,54K16483,train
94_high.png,54-K1 6483,94.png,high,54K16483,54K16483,train
94_occluded.png,54-K1 6483,94.png,occluded,54K16483,54K16483,train
96_low.png,59-P1 664.80,96.png,low,59P166480,59P166480,train
96_medium.png,59-P1 664.80,96.png,medium,59P166480,59P166480,train
96_high.png,59-P1 664.80,96.png,high,59P166480,59P166480,train
96_occluded.png,59-P1 664.80,96.png,occluded,59P166480,59P166480,train
97_low.png,54-F3 7071,97.png,low,54F37071,54F37071,train
97_medium.png,54-F3 7071,97.png,medium,54F37071,54F37071,train
97_high.png,54-F3 7071,97.png,high,54F37071,54F37071,train
97_occluded.png,54-F3 7071,97.png,occluded,54F37071,54F37071,train
98_low.png,59-B1 234.68,98.png,low,59B123468,59B123468,train
98_medium.png,59-B1 234.68,98.png,medium,59B123468,59B123468,train
98_high.png,59-B1 234.68,98.png,high,59B123468,59B123468,train
98_occluded.png,59-B1 234.68,98.png,occluded,59B123468,59B123468,train
100_low.png,60-B1 864.36,100.png,low,60B186436,60B186436,train
100_medium.png,60-B1 864.36,100.png,medium,60B186436,60B186436,train
100_high.png,60-B1 864.36,100.png,high,60B186436,60B186436,train
100_occluded.png,60-B1 864.36,100.png,occluded,60B186436,60B186436,train
103_low.png,59-C1 391.13,103.png,low,59C139113,59C139113,train
103_medium.png,59-C1 391.13,103.png,medium,59C139113,59C139113,train
103_high.png,59-C1 391.13,103.png,high,59C139113,59C139113,train
103_occluded.png,59-C1 391.13,103.png,occluded,59C139113,59C139113,train
104_low.png,59-K1 418.19,104.png,low,59K141819,59K141819,train
104_medium.png,59-K1 418.19,104.png,medium,59K141819,59K141819,train
104_high.png,59-K1 418.19,104.png,high,59K141819,59K141819,train
104_occluded.png,59-K1 418.19,104.png,occluded,59K141819,59K141819,train
106_low.png,59-T1 347.38,106.png,low,59T134738,59T134738,train
106_medium.png,59-T1 347.38,106.png,medium,59T134738,59T134738,train
106_high.png,59-T1 347.38,106.png,high,59T134738,59T134738,train
106_occluded.png,59-T1 347.38,106.png,occluded,59T134738,59T134738,train
107_low.png,59-H1 525.12,107.png,low,59H152512,59H152512,train
107_medium.png,59-H1 525.12,107.png,medium,59H152512,59H152512,train
107_high.png,59-H1 525.12,107.png,high,59H152512,59H152512,train
107_occluded.png,59-H1 525.12,107.png,occluded,59H152512,59H152512,train
109_low.png,76-D1 240.27,109.png,low,76D124027,76D124027,train
109_medium.png,76-D1 240.27,109.png,medium,76D124027,76D124027,train
109_high.png,76-D1 240.27,109.png,high,76D124027,76D124027,train
109_occluded.png,76-D1 240.27,109.png,occluded,76D124027,76D124027,train
110_low.png,54-Z3 1084,110.png,low,54Z31084,54Z31084,train
110_medium.png,54-Z3 1084,110.png,medium,54Z31084,54Z31084,train
110_high.png,54-Z3 1084,110.png,high,54Z31084,54Z31084,train
110_occluded.png,54-Z3 1084,110.png,occluded,54Z31084,54Z31084,train
111_low.png,54-N4 6324,111.png,low,54N46324,54N46324,train
111_medium.png,54-N4 6324,111.png,medium,54N46324,54N46324,train
111_high.png,54-N4 6324,111.png,high,54N46324,54N46324,train
111_occluded.png,54-N4 6324,111.png,occluded,54N46324,54N46324,train
112_low.png,59-C2 019.09,112.png,low,59C201909,59C201909,train
112_medium.png,59-C2 019.09,112.png,medium,59C201909,59C201909,train
112_high.png,59-C2 019.09,112.png,high,59C201909,59C201909,train
112_occluded.png,59-C2 019.09,112.png,occluded,59C201909,59C201909,train
114_low.png,59-C2 628.72,114.png,low,59C262872,59C262872,train
114_medium.png,59-C2 628.72,114.png,medium,59C262872,59C262872,train
114_high.png,59-C2 628.72,114.png,high,59C262872,59C262872,train
114_occluded.png,59-C2 628.72,114.png,occluded,59C262872,59C262872,train
115_low.png,54-L2 9072,115.png,low,54L29072,54L29072,train
115_medium.png,54-L2 9072,115.png,medium,54L29072,54L29072,train
115_high.png,54-L2 9072,115.png,high,54L29072,54L29072,train
115_occluded.png,54-L2 9072,115.png,occluded,54L29072,54L29072,train
117_low.png,59-S1 352.52,117.png,low,59S135252,59S135252,train
117_medium.png,59-S1 352.52,117.png,medium,59S135252,59S135252,train
117_high.png,59-S1 352.52,117.png,high,59S135252,59S135252,train
117_occluded.png,59-S1 352.52,117.png,occluded,59S135252,59S135252,train
119_low.png,54-K4 0723,119.png,low,54K40723,54K40723,train
119_medium.png,54-K4 0723,119.png,medium,54K40723,54K40723,train
119_high.png,54-K4 0723,119.png,high,54K40723,54K40723,train
119_occluded.png,54-K4 0723,119.png,occluded,54K40723,54K40723,train
120_low.png,59-U1 598.97,120.png,low,59U159897,59U159897,train
120_medium.png,59-U1 598.97,120.png,medium,59U159897,59U159897,train
120_high.png,59-U1 598.97,120.png,high,59U159897,59U159897,train
120_occluded.png,59-U1 598.97,120.png,occluded,59U159897,59U159897,train
121_low.png,59-C1 686.12,121.png,low,59C168612,59C168612,train
121_medium.png,59-C1 686.12,121.png,medium,59C168612,59C168612,train
121_high.png,59-C1 686.12,121.png,high,59C168612,59C168612,train
121_occluded.png,59-C1 686.12,121.png,occluded,59C168612,59C168612,train
123_low.png,60-F2 045.65,123.png,low,60F204565,60F204565,train
123_medium.png,60-F2 045.65,123.png,medium,60F204565,60F204565,train
123_high.png,60-F2 045.65,123.png,high,60F204565,60F204565,train
123_occluded.png,60-F2 045.65,123.png,occluded,60F204565,60F204565,train
124_low.png,59-C1 653.31,124.png,low,59C165331,59C165331,train
124_medium.png,59-C1 653.31,124.png,medium,59C165331,59C165331,train
124_high.png,59-C1 653.31,124.png,high,59C165331,59C165331,train
124_occluded.png,59-C1 653.31,124.png,occluded,59C165331,59C165331,train
125_low.png,59-L1 941.76,125.png,low,59L194176,59L194176,train
125_medium.png,59-L1 941.76,125.png,medium,59L194176,59L194176,train
125_high.png,59-L1 941.76,125.png,high,59L194176,59L194176,train
125_occluded.png,59-L1 941.76,125.png,occluded,59L194176,59L194176,train
126_low.png,59-U1 661.41,126.png,low,59U166141,59U166141,train
126_medium.png,59-U1 661.41,126.png,medium,59U166141,59U166141,train
126_high.png,59-U1 661.41,126.png,high,59U166141,59U166141,train
126_occluded.png,59-U1 661.41,126.png,occluded,59U166141,59U166141,train
127_low.png,60-B1 571.22,127.png,low,60B157122,60B157122,train
127_medium.png,60-B1 571.22,127.png,medium,60B157122,60B157122,train
127_high.png,60-B1 571.22,127.png,high,60B157122,60B157122,train
127_occluded.png,60-B1 571.22,127.png,occluded,60B157122,60B157122,train
128_low.png,54-X2 6487,128.png,low,54X26487,54X26487,train
128_medium.png,54-X2 6487,128.png,medium,54X26487,54X26487,train
128_high.png,54-X2 6487,128.png,high,54X26487,54X26487,train
128_occluded.png,54-X2 6487,128.png,occluded,54X26487,54X26487,train
129_low.png,60-FL 7420,129.png,low,60FL7420,60FL7420,train
129_medium.png,60-FL 7420,129.png,medium,60FL7420,60FL7420,train
129_high.png,60-FL 7420,129.png,high,60FL7420,60FL7420,train
129_occluded.png,60-FL 7420,129.png,occluded,60FL7420,60FL7420,train
131_low.png,59-P1 837.38,131.png,low,59P183738,59P183738,train
131_medium.png,59-P1 837.38,131.png,medium,59P183738,59P183738,train
131_high.png,59-P1 837.38,131.png,high,59P183738,59P183738,train
131_occluded.png,59-P1 837.38,131.png,occluded,59P183738,59P183738,train
132_low.png,59-X1 695.92,132.png,low,59X169592,59X169592,train
132_medium.png,59-X1 695.92,132.png,medium,59X169592,59X169592,train
132_high.png,59-X1 695.92,132.png,high,59X169592,59X169592,train
132_occluded.png,59-X1 695.92,132.png,occluded,59X169592,59X169592,train
133_low.png,79-Z1 048.11,133.png,low,79Z104811,79Z104811,train
133_medium.png,79-Z1 048.11,133.png,medium,79Z104811,79Z104811,train
133_high.png,79-Z1 048.11,133.png,high,79Z104811,79Z104811,train
133_occluded.png,79-Z1 048.11,133.png,occluded,79Z104811,79Z104811,train
135_low.png,59-P2 083.24,135.png,low,59P208324,59P208324,train
135_medium.png,59-P2 083.24,135.png,medium,59P208324,59P208324,train
135_high.png,59-P2 083.24,135.png,high,59P208324,59P208324,train
135_occluded.png,59-P2 083.24,135.png,occluded,59P208324,59P208324,train
138_low.png,59-T1 830.13,138.png,low,59T183013,59T183013,train
138_medium.png,59-T1 830.13,138.png,medium,59T183013,59T183013,train
138_high.png,59-T1 830.13,138.png,high,59T183013,59T183013,train
138_occluded.png,59-T1 830.13,138.png,occluded,59T183013,59T183013,train
139_low.png,54-U5 4316,139.png,low,54U54316,54U54316,train
139_medium.png,54-U5 4316,139.png,medium,54U54316,54U54316,train
139_high.png,54-U5 4316,139.png,high,54U54316,54U54316,train
139_occluded.png,54-U5 4316,139.png,occluded,54U54316,54U54316,train
140_low.png,77-C1 393.73,140.png,low,77C139373,77C139373,train
